family_id,ingredient_family,compound_taxonomy,product_name,labeled_strength,format,manufacturer_targets,manufacturer_source,label_checked,region,inci
retinoids,Retinoids,"Retinol; retinal; tretinoin; adapalene; retinoid esters",The Ordinary Retinol 0.2% in Squalane,0.2% retinol,Water-free serum,"Early signs of aging; texture; uneven tone",https://theordinary.com/en-us/retinol-02-in-squalane-serum-100439.html,2026-08-25,U.S.,"Squalane, Caprylic/Capric Triglyceride, Simmondsia Chinensis (Jojoba) Seed Oil, Retinol, Solanum Lycopersicum (Tomato) Fruit Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Hydroxymethoxyphenyl Decanone, BHT."
niacinamide,Niacinamide,"Niacinamide; nicotinamide; vitamin B3",The Ordinary Niacinamide 10% + Zinc 1%,"10% niacinamide; 1% zinc PCA",Water-based serum,"Oil control; brightness; texture",https://theordinary.com/en-us/niacinamide-10-zinc-1-serum-100436.html,2026-08-25,U.S.,"Aqua (Water), Niacinamide, Pentylene Glycol, Zinc PCA, Dimethyl Isosorbide, Tamarindus Indica Seed Gum, Xanthan Gum, Isoceteth-20, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin."
azelaic-acid,Azelaic acid,"Azelaic acid; 10–20% topical formulations",The Ordinary Azelaic Acid Suspension 10%,10% azelaic acid,Cream-like suspension,"Texture; dullness; redness; uneven tone",https://theordinary.com/en-us/azelaic-acid-suspension-10-exfoliator-100407.html,2026-08-25,U.S.,"Aqua (Water), Isodecyl Neopentanoate, Dimethicone, Azelaic Acid, Dimethicone/Bis-Isobutyl PPG-20 Crosspolymer, Dimethyl Isosorbide, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polysilicone-11, Isohexadecane, Tocopherol, Trisodium Ethylenediamine Disuccinate, Isoceteth-20, Polysorbate 60, Triethanolamine, Ethoxydiglycol, Phenoxyethanol, Chlorphenesin."
salicylic-acid,Salicylic acid,"Salicylic acid; beta hydroxy acid (BHA)",The Ordinary Salicylic Acid 2% Solution,2% salicylic acid,Water-based acne serum,"Acne; congestion; textural irregularities",https://theordinary.com/en-us/salicylic-acid-2-solution-acne-control-100098.html,2026-08-25,U.S.,"Active: Salicylic Acid (2%). Inactive: Cocamidopropyl Dimethylamine, Chlorphenesin, Citric Acid, Hydroxyethylcellulose, Phenoxyethanol, Polysorbate 20, Saccharide Isomerate, Sodium Citrate, Sodium Hydroxide, Water."
vitamin-c,Vitamin C,"L-ascorbic acid; vitamin C derivatives",The Ordinary Vitamin C Suspension 23% + HA Spheres 2%,"23% L-ascorbic acid; HA spheres",Water-free suspension,"Dullness; antioxidant support; uneven tone",https://theordinary.com/en-us/vitamin-c-suspension-23-ha-spheres-2-vitamin-c-100451.html,2026-08-25,U.S.,"Ascorbic Acid, Squalane, Isodecyl Neopentanoate, Isononyl Isononanoate, Coconut Alkanes, Ethylene/Propylene/Styrene Copolymer, Ethylhexyl Palmitate, Silica Dimethyl Silylate, Sodium Hyaluronate, Glucomannan, Coco-Caprylate/Caprate, Butylene/Ethylene/Styrene Copolymer, Acrylates/Ethylhexyl Acrylate Crosspolymer, Trihydroxystearin, BHT."
barrier-lipids,Barrier lipids,"Ceramides; sphingolipids; glycolipids; fatty acids",The Ordinary Natural Moisturizing Factors + PhytoCeramides,Concentrations not disclosed on label,Cream moisturizer,"Dryness; barrier support",https://theordinary.com/en-us/natural-moisturizing-factors-phytoceramides-moisturizer-100610.html,2026-08-25,U.S.,"Aqua (Water), Caprylic/Capric Triglyceride, Cetyl Ethylhexanoate, Isodecyl Neopentanoate, Glycerin, Propanediol, Polyglyceryl-6 Polyricinoleate, Hydrogenated Vegetable Oil, Polyglyceryl-2 Isostearate, Isosorbide Dicaprylate, Disteardimonium Hectorite, Phytosteryl Canola Glycerides, Glycosphingolipids, Glycolipids, Linoleic Acid, Oleic Acid, Palmitic Acid, Stearic Acid, Arginine, Glycine, Alanine, Serine, Proline, Threonine, Glutamic Acid, Lysine HCl, Betaine, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, Maltose, Fructose, Trehalose, Sodium PCA, PCA, Sodium Lactate, Urea, Allantoin, Sodium Hyaluronate, Lecithin, Triolein, Dimethyl Isosorbide, Pentylene Glycol, Tocopherol, Hydroxymethoxyphenyl Decanone, Citric Acid, Trisodium Ethylenediamine Disuccinate, Magnesium Sulfate, Sodium Chloride, Sodium Hydroxide, Phenoxyethanol, Chlorphenesin."
